time,temperature_2m_max,temperature_2m_min,precipitation_sum
2015-01-01,30.3,24.6,1.5
2015-01-02,31.5,21.4,0.0
2015-01-03,30.7,21.5,0.0
2015-01-04,31.9,23.7,0.0
2015-01-05,31.9,24.4,0.0
2015-01-06,31.9,24.7,0.0
2015-01-07,32.2,23.9,0.3
2015-01-08,31.5,24.3,1.1
2015-01-09,31.8,24.5,1.6
2015-01-10,32.5,23.3,0.0
2015-01-11,31.9,24.2,0.0
2015-01-12,31.0,23.4,0.0
2015-01-13,31.9,21.6,0.0
2015-01-14,31.6,23.5,0.0
2015-01-15,32.9,24.5,0.2
2015-01-16,33.3,24.7,0.0
2015-01-17,33.1,23.8,0.0
2015-01-18,33.5,24.6,0.0
2015-01-19,33.7,25.0,0.1
2015-01-20,32.4,25.0,0.1
2015-01-21,32.9,24.3,0.7
2015-01-22,32.6,24.3,3.7
2015-01-23,33.6,22.5,0.0
2015-01-24,33.8,22.8,0.0
2015-01-25,34.0,23.7,0.0
2015-01-26,33.9,24.5,0.0
2015-01-27,33.6,24.7,0.0
2015-01-28,34.3,23.1,0.0
2015-01-29,34.0,24.8,0.1
2015-01-30,33.8,24.4,0.0
2015-01-31,34.1,24.7,0.0
2015-02-01,33.5,24.8,0.0
2015-02-02,35.0,24.4,0.0
2015-02-03,35.4,23.3,0.0
2015-02-04,35.3,23.7,0.0
2015-02-05,34.6,25.1,0.0
2015-02-06,34.2,26.0,0.5
2015-02-07,34.1,24.7,1.7
2015-02-08,33.9,25.6,0.1
2015-02-09,33.9,25.1,0.0
2015-02-10,33.8,24.8,0.0
2015-02-11,34.5,24.6,0.0
2015-02-12,35.4,24.8,0.0
2015-02-13,34.2,25.2,0.7
2015-02-14,35.1,24.9,0.7
2015-02-15,34.3,25.7,0.3
2015-02-16,35.2,26.0,0.0
2015-02-17,35.0,25.9,0.3
2015-02-18,33.9,24.8,0.5
2015-02-19,33.7,25.5,0.0
2015-02-20,35.0,25.6,0.0
2015-02-21,35.1,24.7,0.0
2015-02-22,34.9,23.2,0.0
2015-02-23,35.8,23.1,0.0
2015-02-24,35.7,23.3,0.0
2015-02-25,36.2,24.1,0.0
2015-02-26,34.5,24.6,1.6
2015-02-27,35.6,25.5,0.7
2015-02-28,35.1,25.0,0.9
2015-03-01,35.3,25.2,2.3
2015-03-02,34.1,25.5,1.6
2015-03-03,34.1,25.7,1.2
2015-03-04,32.2,25.9,5.5
2015-03-05,35.7,24.4,0.0
2015-03-06,34.5,25.6,8.6
2015-03-07,34.7,24.8,3.4
2015-03-08,34.6,24.4,6.0
2015-03-09,34.2,25.8,2.3
2015-03-10,33.6,25.2,0.0
2015-03-11,34.8,25.0,0.9
2015-03-12,34.9,25.2,3.1
2015-03-13,35.1,25.3,1.6
2015-03-14,34.1,25.2,2.2
2015-03-15,34.0,25.2,2.7
2015-03-16,35.3,25.9,9.6
2015-03-17,34.6,25.5,0.2
2015-03-18,34.8,27.3,0.1
2015-03-19,35.5,26.6,0.1
2015-03-20,35.8,26.5,0.0
2015-03-21,37.0,26.8,0.0
2015-03-22,37.1,26.8,0.0
2015-03-23,36.5,27.1,0.3
2015-03-24,36.3,27.6,0.3
2015-03-25,37.0,28.0,0.8
2015-03-26,37.0,28.2,0.1
2015-03-27,37.9,27.3,1.4
2015-03-28,38.5,27.7,0.3
2015-03-29,36.8,27.3,1.8
2015-03-30,37.8,26.0,4.6
2015-03-31,36.0,25.8,0.8
2015-04-01,37.3,26.3,21.1
2015-04-02,32.7,25.9,1.7
2015-04-03,34.2,25.8,6.3
2015-04-04,34.7,25.4,1.5
2015-04-05,36.0,26.7,0.6
2015-04-06,34.9,27.8,2.7
2015-04-07,35.6,26.1,5.3
2015-04-08,31.4,26.0,7.7
2015-04-09,33.7,25.6,8.5
2015-04-10,34.2,24.9,5.0
2015-04-11,32.7,25.7,7.3
2015-04-12,32.3,25.5,14.1
2015-04-13,30.7,25.0,21.5
2015-04-14,33.2,24.6,8.7
2015-04-15,33.9,25.4,5.4
